Date,CD
3-Sep-13,CD202
3-Sep-13,CD202
4-Sep-13,CD209
4-Sep-13,CD209
4-Sep-13,CD201
4-Sep-13,CD202
5-Sep-13,CD209
5-Sep-13,CD209
5-Sep-13,CD209
5-Sep-13,CDNA
5-Sep-13,CD202
6-Sep-13,CD202
6-Sep-13,CD209
9-Sep-13,CD209
9-Sep-13,CD202
9-Sep-13,CD202
10-Sep-13,CD202
10-Sep-13,CD209
10-Sep-13,CD209
10-Sep-13,CD209
10-Sep-13,CD209
11-Sep-13,CD202
11-Sep-13,CD202
11-Sep-13,CD202
12-Sep-13,CD209
12-Sep-13,CD209
12-Sep-13,CD202
12-Sep-13,CD202
13-Sep-13,CD101
16-Sep-13,CD202
16-Sep-13,CD209
17-Sep-13,CD202
17-Sep-13,CD209
17-Sep-13,CD209
17-Sep-13,CD202
17-Sep-13,CD112
18-Sep-13,CD209
18-Sep-13,CD209
19-Sep-13,CD206
19-Sep-13,CD202
19-Sep-13,CD202
20-Sep-13,CD209
23-Sep-13,CD209
24-Sep-13,CD209
24-Sep-13,CD105
24-Sep-13,CD209
24-Sep-13,CD209
24-Sep-13,CD209
25-Sep-13,CD202
25-Sep-13,CD209
25-Sep-13,CD203
26-Sep-13,CD209
26-Sep-13,CD210
26-Sep-13,CD202
27-Sep-13,CD202
27-Sep-13,CD202
30-Sep-13,CD206
30-Sep-13,CD209
1-Oct-13,CD210
1-Oct-13,CD209
1-Oct-13,CD209
1-Oct-13,CD201
1-Oct-13,CD209
2-Oct-13,CD209
2-Oct-13,CD209
2-Oct-13,CD209
3-Oct-13,CD209
4-Oct-13,CD202
4-Oct-13,CD209
7-Oct-13,CD209
7-Oct-13,CD209
7-Oct-13,CD202
8-Oct-13,CD209
8-Oct-13,CD209
8-Oct-13,CD202
8-Oct-13,CD209
8-Oct-13,CD209
8-Oct-13,CD202
8-Oct-13,CD209
8-Oct-13,CD202
9-Oct-13,CD202
9-Oct-13,CD203
9-Oct-13,CD209
9-Oct-13,CD209
9-Oct-13,CD202
9-Oct-13,CDNA
9-Oct-13,CD209
10-Oct-13,CD209
10-Oct-13,CD209
10-Oct-13,CD209
10-Oct-13,CD202
11-Oct-13,CDNA
11-Oct-13,CD209
15-Oct-13,CD209
15-Oct-13,CD209
15-Oct-13,CD209
15-Oct-13,CD202
16-Oct-13,CD209
16-Oct-13,CD202
16-Oct-13,CD202
16-Oct-13,CD209
17-Oct-13,CD209
17-Oct-13,CD209
17-Oct-13,CD209
17-Oct-13,CD209
17-Oct-13,CD209
17-Oct-13,CD209
17-Oct-13,CD209
18-Oct-13,CD209
21-Oct-13,CD202
21-Oct-13,CD212
22-Oct-13,CD202
22-Oct-13,CD209
22-Oct-13,CD209
22-Oct-13,CD206
22-Oct-13,CD209
22-Oct-13,CD209
22-Oct-13,CD209
23-Oct-13,CD202
